GL Code,Account Name,Department,Period,Amount
4000,Product Sales Revenue,Sales,2025-01,480000
4000,Product Sales Revenue,Sales,2025-02,500000
4000,Product Sales Revenue,Sales,2025-03,510000
4000,Product Sales Revenue,Sales,2026-01,430000
4000,Product Sales Revenue,Sales,2026-02,515000
4000,Product Sales Revenue,Sales,2026-03,560000
5000,Marketing Expenses,Sales,2025-01,38000
5000,Marketing Expenses,Sales,2025-02,39000
5000,Marketing Expenses,Sales,2025-03,42000
5000,Marketing Expenses,Sales,2026-01,47000
5000,Marketing Expenses,Sales,2026-02,41000
5000,Marketing Expenses,Sales,2026-03,44000
5100,Salaries,Sales,2025-01,115000
5100,Salaries,Sales,2025-02,116000
5100,Salaries,Sales,2025-03,117000
5100,Salaries,Sales,2026-01,121000
5100,Salaries,Sales,2026-02,119500
5100,Salaries,Sales,2026-03,135000
5200,Office Supplies,Operations,2025-01,5800
5200,Office Supplies,Operations,2025-02,5900
5200,Office Supplies,Operations,2025-03,6100
5200,Office Supplies,Operations,2026-01,6100
5200,Office Supplies,Operations,2026-02,8000
5200,Office Supplies,Operations,2026-03,6400
5300,Salaries,Operations,2025-01,92000
5300,Salaries,Operations,2025-02,93000
5300,Salaries,Operations,2025-03,94000
5300,Salaries,Operations,2026-01,94000
5300,Salaries,Operations,2026-02,96000
5300,Salaries,Operations,2026-03,97500
5700,Print Advertising,Sales,2025-01,4000
5700,Print Advertising,Sales,2025-02,4200
5700,Print Advertising,Sales,2025-03,4000
5600,Cloud Hosting,Operations,2026-01,3000
5600,Cloud Hosting,Operations,2026-02,3200
5600,Cloud Hosting,Operations,2026-03,3500
